Company Name,Date1,Date2,Date3,Date4,Date5,Date6,Date7,Date8,Date9,Date10,Date11
삼성전자,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"2,368,070","2,796,048","3,022,314","2,614,278","772,036","767,817","704,646","637,454","600,055","678,326"
PER(배),21.09,13.55,6.86,48.77,8.65,8.61,6.86,9.66,13.78,196.37
LG에너지솔루션,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"14,611","178,519","255,986","351,931","50,706","76,482","85,375","87,471","87,735","84,302"
PER(배),131.77,62.32,615.87,173.81,131.77,131.25,93.80,265.86
SK하이닉스,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"319,004","429,978","446,216","289,574","138,110","109,829","76,720","50,881","73,059","79,313"
PER(배),18.14,9.93,24.49,-10.87,5.77,6.52,24.49,-27.69,-10.24,-53.82
삼성바이오로직스,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"11,648","15,680","30,013","35,340","6,514","8,730","9,655","7,209","8,662","9,236"
PER(배),226.84,151.83,71.95,62.98,105.07,109.55,71.95,70.53,64.13,223.79
POSCO홀딩스,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"577,928","763,323","847,502","809,473","230,101","211,545","192,475","193,809","201,214","204,150"
PER(배),14.80,3.62,7.58,15.77,2.78,3.45,7.58,14.59,26.15,56.11
삼성전자우,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"2,368,070","2,796,048","3,022,314","2,614,278","772,036","767,817","704,646","637,454","600,055","678,326"
PER(배),21.09,13.55,6.86,48.77,8.65,8.61,6.86,9.66,13.78,196.37
현대차,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"1,039,976","1,176,106","1,425,275","1,602,705","359,999","377,054","385,236","377,787","422,497","395,022"
PER(배),37.33,11.71,5.68,4.40,8.01,7.88,5.68,5.61,5.98,18.57
LG화학,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"300,589","425,993","518,649","594,104","122,399","141,777","138,523","144,863","145,415","145,776"
PER(배),125.83,13.12,25.45,21.41,18.19,18.86,25.45,34.17,34.88,90.56
삼성SDI,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"112,948","135,532","201,241","238,405","47,408","53,680","59,659","53,548","58,406","60,511"
PER(배),76.91,39.41,21.31,18.41,24.82,22.39,21.31,25.42,22.38,70.43
NAVER,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"53,041","68,176","82,201","97,815","20,458","20,573","22,717","22,804","24,079","24,731"
PER(배),47.97,3.77,38.30,34.78,39.15,34.09,38.30,51.45,41.16,122.18
기아,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"591,681","698,624","865,590","1,006,115","218,760","231,616","231,642","236,907","262,442","249,441"
PER(배),17.00,7.00,4.44,3.55,5.92,6.31,4.44,5.05,4.82,14.70
포스코퓨처엠,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"15,662","19,895","33,019","55,569","8,032","10,533","7,808","11,352","11,930","15,156"
PER(배),225.74,81.69,117.90,137.71,60.46,72.25,117.90,174.22,222.01,455.04
현대모비스,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"366,265","417,022","519,063","610,597","123,081","132,955","149,945","146,670","156,849","149,416"
PER(배),15.89,10.25,7.62,6.61,7.94,7.54,7.62,7.26,7.38,27.46
KB금융,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
매출액,"556,802","589,176","888,959","257,208","327,758","97,368","246,824","158,957"
PER(배),5.20,5.19,4.54,4.66,4.25,3.87,4.54,4.40,4.20,17.01
셀트리온,2020.12,2021.12,2022.12,2023.12(E),2022.06,2022.09,2022.12,2023.03,2023.06,2023.09(E)
